Art Direction,Background Music,Banner,Choreography,Cinematography,Costumes,Design,Dialogue,Director,Distribution,Editing,Lyrics,Makeup,Movie,Movie Genre,Music,Original Story,Producer,Screenplay,Shooting Location,Singers,Sound Design,Status,Story,cast
Sasi Perumanoor,,Simple Productions,,Santhosh Sivan,,Kitho,Kaloor Dennis,Shaji Kailas,,K Sankunni,Poovachal Khader,,Sunday 7 PM (1990),,Johnson,,Changanassery Basheer,Kaloor Dennis,,KS Chithra,,In progress,Kaloor Dennis,"['Ranjini', 'Saikumar', 'Lalu Alex', 'Siddique', 'Silk Smitha', 'Sulakshana']"
,Rajamani,,,,,,,P Venu,,,Poovachal Khader,,Shesham Screenil (1990),,Jeevan Prakash,,Roopachithra,,,"KJ Yesudas, KS Chithra",,In progress,,"['Devan', 'Silk Smitha']"
K Krishnankutty,,,,Sreekumar,Velayudhan Keezhillam,Kurian Varnasala,Jagadish,Alleppey Ashraf,Super Good Films,L Bhoominathan,"Poovachal Khader, Madhu Alappuzha",KV Bhaskaran,Mindaappoochaykku Kalyaanam (Ellaam Angayude Ishtam) (1990),,Raveendran,,,Jagadish,Alappuzha,"KJ Yesudas, KS Chithra",,In progress,Jagadish,"['Suresh Gopi', 'Lissy Lakshmi']"
,,ARMR Films,,CA Baby,,,UV Ravindranath,UV Ravindranath,Chandragiri Release,G Murali,"Gireesh Puthenchery, Poovachal Khader",,Enquiry (1990),,Rajamani,,,UV Ravindranath,,KS Chithra,,In progress,UV Ravindranath,"['Jayalalitha', 'Valsala Menon', 'Sreenath', 'Mamukkoya', 'Mala Aravindan', 'Abhilasha', 'Captain Raju', 'Ashokan', 'Innocent']"
Roy P Thomas,,Enjoy Films,,,,Thoolika,"Thaha, Asokan","Thaha, Asokan",Maruthi Pictures,G Venkittaraman,Kaithapram,,Saandram (1990),,Johnson,,Isaac Samuel,"Thaha, Asokan",,"KS Chithra, G Venugopal, Innocent",,1990-05-10,"Thaha, Asokan","['Suresh Gopi', 'Parvathi Jayaram']"
,,Sree Rajeswari Pictures,,,,,,KS Gopalakrishnan,,,Poovachal Khader,,Avasaanathe Raathri (1990),,Rathnasoori,,,,,"KS Chithra, Unni Menon, Ambili, Dinesh",,In progress,,[]
,,,,,,,,TS Mohan,,,Mankombu Gopalakrishnan,,Thaalam (1990),,Kannur Rajan,,Jasny,,,"Unni Menon, Krishnachandran",,In progress,,"['Sathar', 'Shari']"
K Balan,,PVR Productions,,Jayanan Vincent,,PN Menon,Pappanamkodu Lakshmanan,P Suku Menon,,K Narayanan,ONV Kurup,,Nammude Naadu (1990),,Vidyadharan Master,,PVR Kutti Menon,Pappanamkodu Lakshmanan,,"KJ Yesudas, KS Chithra, MG Sreekumar",,1990-08-23,PVR Kutti Menon,"['Jayabharathi', 'Urvasi', 'Madhu']"
,,,,AT Joy,,Sreeni,AV Peethambaran,MK Muraleedharan,,,AV Peethambaran,,Kanninilaavu (1990),,KP Brahmanandan,,,AV Peethambaran,,"KJ Yesudas, KS Chithra, KP Brahmanandan, Chorus",,In progress,AV Peethambaran,[]
Valsan,,Saj Vision,,,,,John Paul,K Madhu,,VP Krishnan,K Jayakumar,,Randaam Varavu (1990),,Shyam,,Sajan,John Paul,Thiruvananthapuram,"KJ Yesudas, P Susheela",,In progress,Sajan,"['Rekha', 'Jayaram']"
Ramapuram Mohan,,Mannil Productions,,Ajayan Vincent,,Kurian Varnasala,Cochin Haneefa,Cochin Haneefa,Mannil Films,K Sankunni,"Poovachal Khader, Anwar Suber",,Veena Meettiya Vilangukal (1990),,Shyam,,Muhammed Mannil,Cochin Haneefa,,"KJ Yesudas, KS Chithra",,1990-05-25,Cochin Haneefa,"['Madhu', 'Jayabharathi']"
Radhakrishnan (RK),SP Venkitesh,Saga Films,,Santhosh Sivan,,,Sab John,Sangeeth Sivan,Saga Films,Sreekar Prasad,,,Vyooham (1990),,,,Appachan (Saga),Sab John,Ernakulam,,,In progress,Sangeeth Sivan,"['Raghuvaran', 'Urvasi', 'Parvathi Jayaram']"
,,Saga Films,,Santhosh Sivan,,Gayathri Ashokan,Renji Panicker,Shaji Kailas,Saga Films,L Bhoominathan,Kaithapram,,Doctor Pashupathi (1990),,Johnson,,Appachan (Saga),Renji Panicker,,"MG Sreekumar, Sujatha Mohan",,1990-04-05,Renji Panicker,"['Parvathi Jayaram', 'Innocent', 'Risabava']"
Vinesh Gandhi,,Sharon Pictures,,Santhosh Sivan,MM Kumar,Gayathri Ashokan,Dennis Joseph,Thampi Kannanthanam,,G Murali,"ONV Kurup, PB Sreenivas",,Indrajaalam (1990),,SP Venkitesh,,Thampi Kannanthanam,Dennis Joseph,,"KS Chithra, MG Sreekumar, SP Balasubrahmanyam",,In progress,Dennis Joseph,"['Mohanlal', 'Sreeja']"
Sivan,Vijayabhaskar,Adoor Gopalakrishnan Productions,,Mankada Ravi Varma,,Gayathri Ashokan,Adoor Gopalakrishnan,Adoor Gopalakrishnan,,M Mani,,,Mathilukal (1990),,,,Adoor Gopalakrishnan,Adoor Gopalakrishnan,,,,1990-05-18,Vaikkom Muhammad Basheer,['Mammootty']
Roy P Thomas,Ouseppachan,Evershine Pictures,,Saloo George,,Kitho,Kaloor Dennis,Kamal,,K Sankunni,Kaithapram,,Thoovalsparsham (1990),,Ouseppachan,,Thiruppathi Chettiyar,Kaloor Dennis,,"KJ Yesudas, KS Chithra, Unni Menon",,In progress,Kaloor Dennis,"['Mukesh', 'Saikumar', 'Jayaram']"
,,,,,,,,Khomineni,,,,,Rathilayangal (1990),,,,,,,,,In progress,,[]
CK Suresh,,Mudra Arts,,Anandakkuttan,Mahi,Gayathri Ashokan,SN Swamy,Sibi Malayil,Mudra Arts Release,L Bhoominathan,"Kaithapram, Sreekumaran Thampi",K Velappan,Parampara (1990),,Mohan Sithara,,B Sasikumar,SN Swamy,,"KS Chithra, G Venugopal",,In progress,SN Swamy,"['Mammootty', 'Mammootty', 'Sumalatha']"
CK Suresh,,Central Productions,,Vipin Mohan,,Gayathri Ashokan,SN Swamy,Sathyan Anthikkad,Central Pictures Release,K Rajagopal,Kaithapram,,Kalikkalam (1990),,Johnson,,George Mathew,SN Swamy,,"KS Chithra, G Venugopal",,In progress,SN Swamy,"['Sabitha Anand', 'Philomina', 'Paravoor Bharathan', 'Oduvil Unnikrishnan', 'Mamukkoya', 'Lalu Alex', 'Karamana Janardanan Nair', 'Kaladi Jayan', 'Chithra', 'CI Paul', 'Bheeman Raghu', 'KPAC Azeez', 'Lissy Lakshmi', 'James', 'Sreenivasan', 'Sankaradi', 'Murali', 'PC George', 'Shobhana', 'Innocent', 'Mammootty', 'Sukumari', 'Santhakumari', 'Shari', 'TP Madhavan', 'Thesni Khan', 'Johnson']"
Hari,SP Venkitesh,Thomsun Films,,Jayanan Vincent,,Thoolika,Lohithadas,Joshiy,Thomson Release,K Sankunni,Kaithapram,,Kuttettan (1990),,Raveendran,,Babu,Lohithadas,,"KJ Yesudas, KS Chithra",,In progress,Lohithadas,['Mammootty']
Balan Karumaloor,,Simple Productions,,Saroj Padi,Dandapani,Gayathri Ashokan,Kaloor Dennis,PG Vishwambharan,Pratheeksha Pictures Release,G Murali,Kaithapram,KV Bhaskaran,Gajakesariyogam (1990),,Johnson,,Mumtas Basheer,Kaloor Dennis,,"Sujatha Mohan, Unni Menon, Innocent",,In progress,Babuji Nair,"['Mukesh', 'Sunitha']"
K Krishnankutty,Shyam,Gandhimathi Films,,Jayanan Vincent,Mahi,Sabu Colonia,P Padmarajan,Joshiy,Gandhimathi Release,K Sankunni,Traditional,Thomas,Ee Thanutha Veluppaankaalathu (1990),,Shyam,,Balan (Gandhimathi Balan),P Padmarajan,,Chorus,,In progress,P Padmarajan,"['Nedumudi Venu', 'Sumalatha', 'Suresh Gopi', 'Mammootty']"
,,,,KS Mani,,,Joseph Vattoli,KS Gopalakrishnan,,,Poovachal Khader,,Judgement (1990),,SP Venkitesh,,,KS Gopalakrishnan,,"KS Chithra, Kannur Salim, Shobha (Old)",,In progress,KS Gopalakrishnan,"['Kapil Dev (Irfan)', 'Nisha', 'Prameela']"
,,,,,,,,Sasikumar,,,Poovachal Khader,,Raajavaazhcha (1990),,Johnson,,Maruthi Pictures,,,"KS Chithra, MG Sreekumar, P Jayachandran",,In progress,,"['Saikumar', 'Ranjini', 'Chithra', 'Thilakan', 'Suresh Gopi', 'Sukumari']"
K Krishnankutty,SP Venkitesh,Seven Arts International LTD,,AV Thomas,,Gayathri Ashokan,Sreekumaran Thampi,Dennis Joseph,,K Sankunni,Sreekumaran Thampi,Mani,Appu (1990),,Sundara Rajan,,GP Vijayakumar,Sreekumaran Thampi,,"MG Sreekumar, Sujatha Mohan",,In progress,Sreekumaran Thampi,"['Sunitha', 'Mohanlal']"
,,,,,,,,KS Gopalakrishnan,,,Bharanikkavu Sivakumar,,Apsarassu (1990),,SP Venkitesh,,,,,"KS Chithra, P Susheela, P Jayachandran, Unni Menon",,In progress,,[]
Premachandran,,Mac Productions,,K Ramachandrababu,,,Lohithadas,Suresh Unnithan,,G Murali,ONV Kurup,,Raadha Maadhavam (1990),,Vidyadharan Master,,Ali,Lohithadas,Ooty,"KS Chithra, MG Sreekumar",,In progress,Lohithadas,"['Thilakan', 'Jayaram', 'Geetha', 'Parvathi Jayaram']"
CK Suresh,,Navayuga Arts,,Vipin Mohan,,Thoolika,VR Gopalakrishnan,Thulasidas,Navayuga Arts,G Murali,Kaithapram,,Kouthukavaarthakal (1990),,Johnson,,"Navas, Nandu, Ambily",VR Gopalakrishnan,Thiruvananthapuram,"KS Chithra, MG Sreekumar, Sujatha Mohan, G Venugopal",,1990-04-10,VR Gopalakrishnan,"['Mukesh', 'Ranjini', 'Suresh Gopi', 'Urvasi']"
Valsan,Mohan Sithara,Jubilee Productions,,"Jayanan Vincent, KG Jayan",,Gayathri Ashokan,"Ranjith, Kaloor Dennis",Viji Thampy,Jubilee Pictures Release,Hariharaputhran KP,K Jayakumar,,Marupuram (1990),,Mohan Sithara,,Joy Thomas,"Ranjith, Kaloor Dennis",Thiruvananthapuram,"KS Chithra, MG Sreekumar",,In progress,Viji Thampy,"['Urvasi', 'Mukesh', 'Jayaram']"
Sasi Perumanoor,Rajamani,Jemy Movies,,V Aravindakshan,,,Babu Narayanan,Babu Narayanan,Rachana Picture Release,G Murali,RK Damodaran,,Ponnaranjaanam (1990),,Kozhikode Yesudas,,Hameed,Babu Narayanan,,"KJ Yesudas, KS Chithra",,In progress,Antony Eastman,"['Mahesh', 'Ganesh Kumar', 'Usha', 'Devika']"
,Mohan Sithara,Jayjeevan Productions Of India,,Prathapan,,,Jagathy Sreekumar,Rex,Sreeram Pictures,L Bhoominathan,K Jayakumar,,Champion Thomas (1990),,MG Radhakrishnan,,TK Mukundan,Jagathy Sreekumar,,"KJ Yesudas, KS Chithra",,1990-11-15,Jagathy Sreekumar,"['Jagathy Sreekumar', 'Sunny Augustine']"
,,Sunitha Productions,,Anandakkuttan,,,Dennis Joseph,TS Suresh Babu,Aroma Release,G Venkittaraman,Chunakkara Ramankutty,,Kottayam Kunjachan (1990),,Shyam,,M Mani,Dennis Joseph,,"KJ Yesudas, Sindhu Devi",,1990-03-15,Muttathu Varkey,"['Sukumaran', 'Ranjini', 'KPAC Lalitha', 'Innocent', 'Mammootty']"
,,Relax Combines,,,,,,P Chandrakumar,,,Bichu Thirumala,,Urvasi (1990),,Jerry Amaldev,,,,,"KS Chithra, P Jayachandran",,In progress,,"['P Sukumar (Kiran)', 'Abhilasha']"
Mani Suchitra,Johnson,Valakuzhy Films,,K Ramachandrababu,,Sabu Colonia,S Bhasurachandran,KG George,,MN Appu,,,Ee Kanni Koodi (1990),,,,Ouseppachan,S Bhasurachandran,,,,In progress,S Bhasurachandran,"['Aswini', 'Saikumar']"
,,,,,,,Thomas Jose,P Chandrakumar,,,Sreekumaran Thampi,,Rosa I love you (1990),,Jerry Amaldev,,Chicku Films,,,"KS Chithra, P Jayachandran, Sujatha Mohan, Vani Jairam, G Venugopal, Unni Menon",,In progress,Thomas Jose,"['Innocent', 'Abhilasha', 'Poonam Dasgupta']"
Santhosh Kaippally,Ilayaraja,Arifa Enterprises,,Jayanan Vincent,,Gayathri Ashokan,Shibu Chakravarthy,Jomon,Shyney Films,Hariharaputhran KP,,,Saamraajyam (1990),Action,Ilayaraja,,Ajmal Hassan,Shibu Chakravarthy,,,,In progress,Jomon,"['Srividya', 'Madhu', 'Mammootty', 'Captain Raju']"
,,Sree Lakshmi Thankam Pictures,,S Balraj,,,Purushan Alappuzha,P Vinod Kumar,,C Mani,Poovachal Khader,,Eenam Thettaatha Kaattaaru (Kaattile Pennu) (1989),,Navas,,,Purushan Alappuzha,,"KJ Yesudas, KS Chithra",,1989-01-12,P Vinod Kumar,"['Veena Sundar', 'Sukumaran', 'Jayalalitha']"
B Chandran,AR Swaminathan,SAS Creations,,V Raghu,,Seera Karyavattam,K Gopinath,VG Ambalam,,VG Ambalam,Poovachal Khader,,Beauty Palace (1990),,MK Arjunan,,VS Ranganathan,K Gopinath,,"P Jayachandran, Vani Jairam",,In progress,Vijayan Karote,"['Mervin', 'Alekya', 'Brinda', 'Shaarika', 'Shakkeela', 'Ravichander']"
IV Satheesh Babu,Shyam,Anu Ani Arts,,Santhosh Sivan,,,MT Vasudevan Nair,IV Sasi,KRG Enterprises,K Narayanan,,,Midhya (1990),,,,,,,,,In progress,MT Vasudevan Nair,"['Roopini', 'Mammootty', 'Suresh Gopi']"
Mahendran Kavalayoor,,Chaithram Cine Arts,,Saloo George,,Gayathri Ashokan,AR Mukesh,Chandrasekharan,Charangattu Release,Rajasekharan,Kaithapram,,Cheriya Lokavum Valiya Manushyarum (1990),,Johnson,,,AR Mukesh,,"MG Sreekumar, Sujatha Mohan, G Venugopal",,1990-07-27,Chandrasekharan,"['Jagathy Sreekumar', 'Innocent', 'Mukesh', 'Mamukkoya']"
Balan,KJ Joy,Navasakthi Arts,,Mannar Mannan,,Seera Karyavattam,Sarathchandran,AB Ayyappan Nair,,A Sukumaran,Poovachal Khader,,Niyamam Enthucheyyum (1990),,Johnson,,Indira krishnankutty,Sarathchandran,,"KS Chithra, Vani Jairam",,1990-03-16,,"['Adoor Bhasi', 'Ratheesh', 'Shanker']"
Mahendran Kavalayoor,Mohan Sithara,ABR Productions,,Venu,,Sabu Colonia,P Padmarajan,P Padmarajan,Chandrakanth Release,B Lenin,Kaithapram,,Innale (1990),,Perumbavoor G Ravindranath,Punarjanmam,"Ashraf, Rasheed",P Padmarajan,,"KJ Yesudas, KS Chithra",,1990-04-05,Vasanthy,"['Shobhana', 'Suresh Gopi', 'Jayaram']"
,,Chandrathara Cine Arts,,,,,,K Radhakrishnan,,,Poovachal Khader,,Mouna Daham (1990),,SP Venkitesh,,,,,Unni Menon,,In progress,,[]
,,VRS Movies,,,,,,KS Gopalakrishnan,,,"Poovachal Khader, Bharanikkavu Sivakumar",,Chuvappunaada (1990),,SP Venkitesh,,,,,"KS Chithra, Unni Menon",,In progress,,[]
,,Sarada Creative Arts,,Dinesh Babu,,,Mankombu Gopalakrishnan,Dinesh Babu,,,Mankombu Gopalakrishnan,,48 Manikkoor (1990),,Vijay Anand,,"Hussain, P Muraleedharan",Dinesh Babu,,"Ambili, Louis Pinto",,In progress,Dinesh Babu,"['Revathy', 'Bheeman Raghu', 'Disco Santhi']"
,,,,,,,,Sasi Mohan,,,Poovachal Khader,,Chuvanna Kannukal (1990),,Jerry Amaldev,,Chaithanya Arts,,,"KS Chithra, P Jayachandran, Sujatha Mohan, Unni Menon, Krishnachandran",,In progress,,['Kapil Dev (Irfan)']
Mani Suchitra,,Priyadarshini Pictures,,Venu,,,"Lal, Siddique","Lal, Siddique",,TR Sekhar,Bichu Thirumala,,In Harihar Nagar (1990),,S Balakrishnan,,,"Lal, Siddique",,"MG Sreekumar, Unni Menon",,In progress,"Lal, Siddique","['Siddique', 'Geetha Vijayan', 'Jagadish', 'Ashokan', 'Mukesh']"
A Balu,Mohan Sithara,,,Vasanth Kumar,,Sabu Colonia,PK Baburaj,P Anil,,G Venkittaraman,George Thomas,,Ananthavruthaantham (1990),,Judi,,"George Thomas, Jayan Mulangad",PK Baburaj,,"KS Chithra, G Venugopal, MS Nazim",,1990-08-15,J Pallassery,"['Saikumar', 'Ranjini']"
,,Teakebees,,,,,,P Chandrakumar,,,Poovachal Khader,,Aalasyam (1990),,AT Ummer,,TK Balachandran,,,"KJ Yesudas, Vani Jairam",,In progress,,"['P Sukumar (Kiran)', 'Poonam Dasgupta']"
Rajan Varantharapally,Johnson,Akshaya Productions,,Ashok Kumar,,,John Paul,K Madhu,,VP Krishnan,,,Orukkam (1990),,,,,John Paul,,,,In progress,Balachandran Chullikkad,"['Ranjini', 'Suresh Gopi']"
,,,,Aswani Kaul,,,,Prof Sivaprasad,,,,,Vembanaad (1990),,,,,,,,,In progress,,"['Jayabharathi', 'Mahesh', 'Ranjini']"
K Krishnankutty,,Kripa Films,,S Kumar,,Gayathri Ashokan,Lohithadas,Sibi Malayil,,L Bhoominathan,Kaithapram,,Maalayogam (1990),,Mohan Sithara,,N Krishnakumar (Kireedam Unni),Lohithadas,,"MG Sreekumar, Balagopalan Thampi",,In progress,Lohithadas,"['Mukesh', 'Chithra', 'Parvathi Jayaram', 'Jayaram', 'Suma Jayaram']"
Makkada Devadas,,Chandragiri Productions,,K Ramachandrababu,,Sreeni,Kottayam Pushpanath,Vijayan Karote,Chandragiri Release,MV Natarajan,Gireesh Puthenchery,,Brahmarakshassu (1990),,Raveendran,,,Gireesh Puthenchery,,"KJ Yesudas, KS Chithra",,1990-04-26,Kottayam Pushpanath,"['Sankaradi', 'Renuka (Prashanthi)', 'James', 'Anila', 'Aswathi Alex', 'Balan K Nair', 'Devan', 'Kunjandi', 'Kuthiravattam Pappu', 'Lalu Alex', 'Nirmal', 'RK Nair', 'Rajan Padoor', 'Innocent', 'Santhadevi', 'Shailaja', 'Shyni Dinesh', 'VK Sreeraman', 'James Parackal']"
,,Mudra Arts,,Vipin Mohan,,,Sreenivasan,Sathyan Anthikkad,,K Rajagopal,Kaithapram,,Thalayanamanthram (1990),,Johnson,,B Sasikumar,Sreenivasan,,"KS Chithra, MG Sreekumar, Sujatha Mohan, G Venugopal",,In progress,Sreenivasan,"['Urvasi', 'Sreenivasan', 'Parvathi Jayaram', 'Jayaram']"
Hari,SP Venkitesh,Tharangini Films,,Jayanan Vincent,,Gayathri Ashokan,Dennis Joseph,Joshiy,,K Sankunni,Shibu Chakravarthy,,Number 20 Madras Mail (1990),,Ouseppachan,,,Dennis Joseph,,"KS Chithra, MG Sreekumar",,1990-02-16,,"['Suchithra Murali', 'Mammootty', 'Mohanlal']"
,,Karthika Movies,,S Balraj,,Seera Karyavattam,Jayadevan,Jayadevan,,C Mani,Poovachal Khader,,Aadithaalam (1990),,Navas,,K Prasannakumar,Jayadevan,,"KJ Yesudas, KS Chithra, Unni Menon",,In progress,Jayadevan,"['Rajeev', 'Ravi Varma', 'Jayalalitha', 'Nalinikanth']"
,Nivas,,,,,,,Cross Belt Mani,,,Bharanikkavu Sivakumar,,Commander (1990),,Guna Singh,,,,,,,In progress,,[]
,,Hemambika Movies,,Melly Dayalan,,Gayathri Ashokan,AR Mukesh,Sasikumar,,K Rajagopal,Poovachal Khader,,Paadaatha Veenayum Paadum (1990),,Raveendran,,,AR Mukesh,,"KJ Yesudas, KS Chithra",,In progress,Sasikumar,"['Raghu (Karan)', 'Uma Maheswari']"
K Krishnankutty,Rajamani,KRG Productions,,KP Nambyathiri,,Sabu Colonia,Venu Nagavally,Venu Nagavally,KRG Enterprises,N Gopalakrishnan,ONV Kurup,,Laal Salaam (1990),,Raveendran,,K Rajagopal,Venu Nagavally,,"KJ Yesudas, MG Sreekumar, Sujatha Mohan, Raveendran",,1990-12-20,Cheriyan Kalpakavadi,"['Geetha', 'Murali', 'Urvasi', 'Mohanlal']"
Roy P Thomas,,Cherupushpam Films,,Saloo George,,Gayathri Ashokan,Sreenivasan,Kamal,Cherupushpam Release,K Rajagopal,Kaithapram,,Paavam Paavam Raajakumaaran (1990),,Johnson,,KJ Joseph,Sreenivasan,,"KJ Yesudas, KS Chithra",,In progress,Sreenivasan,['Sreenivasan']
,,,,,,,,Asha Khan,,,Joy Chirappuram,,Nidrayil Oru Raathri (1990),,SP Venkitesh,,Chakravarthy Production,,,,,In progress,,['Kapil Dev (Irfan)']
K Krishnankutty,Shyam,GP's Films,,S Kumar,,Gayathri Ashokan,Sreenivasan,Priyadarshan,Seven Arts Release,N Gopalakrishnan,Sreekumaran Thampi,,Akkare Akkare Akkare (1990),,Ouseppachan,,,Sreenivasan,,"MG Sreekumar, Unni Menon, Jojo",,In progress,Sreenivasan,"['Sreenivasan', 'Mohanlal']"
,,,,,,,,Sasi Mohan,,,Puthiyankam Murali,,Apoorvasangamam (1990),,Jerry Amaldev,,Chaithanya Arts,,,"KS Chithra, Sujatha Mohan, Unni Menon",,In progress,,[]
K Balan,Johnson,Sapthapathi Arts,,VC Sasi,,Sabu Colonia,Vinayan,Vinayan,,G Murali,Bichu Thirumala,PV Shankar,Super Star (1990),Comedy,Alleppey Vivekanandan,,,Vinayan,,"KJ Yesudas, KS Chithra, Chorus",,In progress,Vinayan,"['Pallavi (Old)', 'MadanLal', 'MadanLal']"
,Johnson,Arakkal Films,,,,,SL Puram Sadanandan,PG Vishwambharan,,,,,Kaattukuthira (1990),,,,,,,,,In progress,SL Puram Sadanandan,"['Anju (Baby Anju)', 'Vineeth', 'Thilakan']"
,,Castle Productions,,Vipin Mohan,,,Lohithadas,Sathyan Anthikkad,,K Rajagopal,PK Gopi,,Sasneham (1990),,Johnson,,Ganesh Iyer,Lohithadas,,"KS Chithra, G Venugopal",,In progress,Lohithadas,"['Balachandra Menon', 'Shobhana']"
,Johnson,SS Pictures,,CE Babu,,Sabu Colonia,Antony Eastman,Antony Eastman,,G Murali,,,Mridula (1990),,,,,Antony Eastman,,,,In progress,Antony Eastman,"['Raghu (Karan)', 'Mrudula']"
Asok,Mohan Sithara,Seven Arts,,AV Thomas,,Sabu Colonia,Sreenivasan,Jayaraj,Seven Arts Release,L Bhoominathan,Kaithapram,,Vidyaarambham (1990),,Bombay Ravi,,GP Vijayakumar,Sreenivasan,,"KJ Yesudas, KS Chithra",,1990-12-21,Sreenivasan,"['Gouthami', 'Nedumudi Venu', 'Sreenivasan']"
Rajan Kozhanchery,,Sreemuruka Arts Productions,,ENC Nair,,S Kumar,MS Vasavan,Krishnaswamy,Sree Ranjith Release,Rajasekharan,Vayalar Madhavankutty,,Maanmizhiyaal  (1990),,Murali Sithara,,MS Vasavan,MS Vasavan,,"KJ Yesudas, Lathika, KV Sivadasan",,1990-02-16,MS Vasavan,"['Sithara', 'Ashokan', 'Shari']"
,,,,Sudarshan Nag,,,Raj Marbros,Raj Marbros,,,,,Thrisandhya (1972),,,Iruttinum Velichathinum Madhye,,Raj Marbros,,,,In progress,Uroob,"['PK Abraham', 'Waheeda Rehman']"
,,Sree Rajeswari Pictures,,,,,,Sasi Mohan,,,Poovachal Khader,,101 Raavukal (1990),,Jerry Amaldev,,,,,"KS Chithra, Krishnachandran",,In progress,,[]
,Ilayaraja,,,,,,,Mani Ratnam,,,Anthikkad Mani,,Geethaanjali (1990),,Ilayaraja,,Bhagya Lekshmi Enterprises,,,"KS Chithra, S Janaki, SP Balasubrahmanyam",,In progress,,"['Nagarjuna', 'Girija Shettar']"
CK Suresh,Mohan Sithara,Pranavam Arts International,,Anandakkuttan,,Gayathri Ashokan,Lohithadas,Sibi Malayil,,L Bhoominathan,"Kaithapram, Madhu (Bihar)",K Velappan,His Highness Abdulla (1990),,Raveendran,,Mohanlal,Lohithadas,"Padmanabhapuram Palace, Varkala, Mumbai","KJ Yesudas, KS Chithra, MG Sreekumar, Raveendran, Sharreth",,In progress,Lohithadas,"['Gouthami', 'Nedumudi Venu', 'Mohanlal']"
P Krishnamoorthy,,KRG Enterprises,,Anandakkuttan,,Gayathri Ashokan,Dennis Joseph,Hariharan,KRG Release,MS Mani,ONV Kurup,,Oliyambukal  (1990),,MS Viswanathan,,K Rajagopal,Dennis Joseph,,"MG Sreekumar, P Susheela, Sujatha Mohan",,In progress,Dennis Joseph,"['Rekha', 'Mammootty']"
,Johnson,Appu Cine Arts,,Saroj Padi,,,Joseph Madappally,Mohan,,Ravi,,,Mukham (1990),,,,,Mohan,,,,In progress,Joseph Madappally,"['Mohanlal', 'Ranjini']"
Hareendran,TK Layan,Saikripa Productions,,Madhu,,Click,Sai Kripa,AP Sathyan,"Sreedurga Release, CKB Sagar Release",AP Joseph,K Jayakumar,,May Dinam (1990),,MG Radhakrishnan,,N Gopalakrishnan,Sai Kripa,,"KJ Yesudas, KS Chithra",,1991-07-12,Mathew Mattom,"['Sivaram', 'Shyama', 'Saikumar', 'Mamukkoya', 'Mala Aravindan', 'Lalu Alex', 'Janardanan', 'Adoor Bhavani', 'Innocent', 'Jagathy Sreekumar', 'Balan K Nair']"
,Shyam,Mac Productions,,Vipin Das,,Kitho,John Paul,Jeasy,Mac Release,K Sankunni,ONV Kurup,,Purappaadu (1990),,Ouseppachan,,,John Paul,,"KJ Yesudas, KS Chithra, MG Sreekumar, PB Sreenivas, Ambili",,In progress,,"['Sumalatha', 'Parvathi Jayaram', 'Mammootty']"
Roy P Thomas,Mohan Sithara,Central Productions,,Sunny Joseph,,Gayathri Ashokan,Sab John,TK Rajeev Kumar,Central Pictures Release,VN Raghupathi,Kaithapram,,Kshanakkathu (1990),,Sharreth,,George Mathew,Sab John,,"KJ Yesudas, KS Chithra",,1990-02-11,TK Rajeev Kumar,"['Athira (Kshanakkathu)', 'Niyaz Musaliyar']"
,,,,,,,,Khomineni,,,,,For First Nights (1990),,,,,,,,,In progress,,['Sarath Babu']
K Krishnankutty,Johnson,Saj Productions,,S Kumar,,Gayathri Ashokan,Priyadarshan,Priyadarshan,Navodaya Release,N Gopalakrishnan,P Bhaskaran,,Kadathanaadan Ambaadi (1990),,K Raghavan,,Sajan,Sarangapani,,"KJ Yesudas, KS Chithra, MG Sreekumar, P Jayachandran, Sujatha Mohan",,1990-04-14,Cochin Haneefa,"['Prem Nazir', 'Swapna', 'Radhu', 'Mohanlal']"
VR Gopinath,Mohan Sithara,Prasad Arts,,Sunny Joseph,,,VR Gopinath,VR Gopinath,,P Raman Nair,,,Unnikkuttanu Joli Kitti (1990),,,,VR Gopinath,VR Gopinath,,,,In progress,VR Gopinath,"['Murali', 'Jose Thomas', 'PA Bakker', 'Krishnankutty Nair', 'KP Kumaran', 'Baby Drisya G Nath', 'Jameela Malik', 'Narendra Prasad', 'Thara']"
Nagaraja Rao,Pukazhenthi,VSN Productions,,SV Sreekanth,,,Sreekumaran Thampi,Renuka Sharma,Kumaraswamy & Co,"BV Krishnan, VM Victor","Sreekumaran Thampi, Kumbakudi Kulathur Iyer",,Sabarimala Sree Ayyappan (1990),,KV Mahadevan,,"Subramaniam Kumar, V Swaminathan",,,"KJ Yesudas, KS Chithra",,In progress,Mythology,"['Dr Rajkumar', 'Geetha', 'Master Sanjay']"
,,,,,,,,AT Abu,,,Kaithapram,,Ananthanum Appukkuttanum Aanayundu (1990),,Johnson,,,,,"KJ Yesudas, KS Chithra",,In progress,,[]
,,,,,,,,,,,V Vishnudas,,Panchavaadyam (1990),,Kodakara Madhavan,,,,,KJ Yesudas,,In progress,,[]
,,,,,,,,,,,Pradeep Ashtamichira,,Bharathinagar May 9 (1990),,Perumbavoor G Ravindranath,,,,,"KJ Yesudas, Seema Behan",,In progress,,[]
